tag,min,max,echelon,cycletime
"DB101,REAL184",0,1800,0.5,2000
"DB101,REAL14",0,1800,0.5,2000
"DB151,REAL14",0,100,1,2000
"DB201,REAL184",0,20,0.5,2000
"DB201,REAL14",0,20,0.5,2000
"DB251,REAL14",0,100,1,2000
"DB102,REAL184",0,1800,0.5,2000
"DB102,REAL14",0,1800,0.5,2000
"DB152,REAL14",0,100,1,2000
"DB202,REAL184",0,20,0.5,2000
"DB202,REAL14",0,20,0.5,2000
"DB252,REAL14",0,100,1,2000
"DB103,REAL184",0,1800,0.5,2000
"DB103,REAL14",0,1800,0.5,2000
"DB153,REAL14",0,100,1,2000
"DB203,REAL184",0,20,0.5,2000
"DB203,REAL14",0,20,0.5,2000
"DB253,REAL14",0,100,1,2000
"DB104,REAL184",0,1800,0.5,2000
"DB104,REAL14",0,1800,0.5,2000
"DB154,REAL14",0,100,1,2000
"DB204,REAL0",0,20,0.5,2000
"DB204,REAL14",0,20,0.5,2000
"DB254,REAL14",0,100,1,2000
"DB105,REAL184",0,1800,0.5,2000
"DB105,REAL14",0,1800,0.5,2000
"DB155,REAL14",0,100,1,2000
"DB205,REAL184",0,20,0.5,2000
"DB205,REAL14",0,20,0.5,2000
